M01_2_N,M02_2_N,M03_2_N,M04_2_N,M05_2_N,M06_2_N,M07_2_N,M08_2_N,M09_2_N,M10_2_N,M11_2_N,M12_2_N,status
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,5.0,5.1,5.1,1.3,4.0,5.1,1.3,3.7,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,3.0,5.1,2.7,5.1,5.0,5.1,0
5.1,5.1,5.1,2.3,5.1,1.0,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,5.1,5.1,2.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.3,1.0,5.1,1.0,5.1,5.1,1.3,1.7,1.3,1.3,2.0,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,5.0,3.7,5.0,2.0,5.0,5.1,5.1,5.1,5.1,4.0,5.1,1
5.1,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.0,5.1,5.1,1.0,1.7,1.0,5.1,1.7,5.1,1.0,1.0,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.3,5.0,2.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.3,3.3,1.0,3.0,2.0,4.0,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,2.3,1.7,2.0,1.3,2.3,5.1,5.1,5.0,5.0,5.1,5.1,0
4.0,3.0,1.7,4.0,2.3,4.0,1.3,5.1,2.0,3.0,5.1,5.1,1
2.3,1.3,5.1,2.7,2.3,5.1,1.0,1.3,5.1,5.1,3.3,5.1,0
3.0,1.0,1.0,3.0,1.7,2.0,5.1,5.1,5.1,5.1,5.1,5.1,1
3.0,1.3,1.3,2.3,5.1,3.0,2.3,5.1,1.7,1.7,1.3,5.1,0
1.3,1.7,5.1,1.0,5.1,1.3,1.7,5.1,5.1,5.1,1.0,5.1,1
1.3,1.0,5.1,1.0,5.1,5.1,2.7,5.1,2.0,1.3,2.0,5.1,0
4.0,2.3,2.7,1.3,1.7,3.7,5.1,5.1,5.1,5.0,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,3.0,1.7,5.0,1.3,5.1,5.1,1.3,5.1,5.1,5.1,5.1,1
5.1,3.0,5.1,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.3,1.0,1.0,1.0,1.0,1.3,1.0,1.3,5.1,1.3,1.0,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.0,2.3,5.0,5.1,5.0,5.1,2.3,3.0,5.0,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.3,3.7,3.7,4.0,2.0,5.0,5.1,5.1,3.3,4.0,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,1.7,2.3,5.1,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,2.7,4.0,1.3,3.3,5.1,2.0,3.0,5.1,3.7,5.1,1
2.3,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,1.0,5.1,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,5.1,5.1,2.3,5.1,2.7,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.3,2.7,2.3,1.7,2.0,4.0,3.3,1.7,1.7,5.0,5.0,5.1,0
3.3,5.1,5.1,5.1,5.1,3.0,5.1,5.1,5.1,5.1,5.1,5.1,1
3.7,1.0,1.0,5.0,1.3,3.0,3.0,1.3,1.7,5.1,5.1,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.3,1.3,1.0,3.0,1.7,2.0,5.1,5.1,1.0,5.1,5.1,5.1,0
5.1,2.0,2.0,5.1,5.1,5.1,5.1,5.1,2.0,5.1,5.1,5.1,1
5.1,4.0,1.7,5.1,1.7,4.0,5.1,5.1,3.7,5.1,5.1,5.1,1
5.1,5.1,2.7,5.1,2.0,5.1,5.1,5.1,3.3,5.1,5.1,5.1,1
5.1,1.0,1.7,1.0,1.3,5.1,5.1,5.1,2.3,5.1,5.1,5.1,0
5.1,5.1,5.1,5.1,2.0,5.1,5.1,5.1,1.7,5.1,5.1,5.1,0
3.7,1.7,3.3,3.3,1.7,5.0,5.1,5.1,5.0,5.0,5.1,5.1,0
5.1,1.7,1.7,3.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,1.0,5.1,2.3,1.7,5.1,5.1,5.1,1.3,5.1,5.1,5.1,1
4.0,1.0,2.0,5.1,5.1,2.0,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.3,2.3,1.7,3.0,1.3,2.7,5.1,1.0,5.0,5.1,5.1,5.1,1
5.1,4.0,5.1,5.1,1.3,4.0,5.1,1.3,2.7,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.0,3.0,2.7,3.7,1.7,4.0,5.1,2.0,5.1,5.0,4.0,5.1,0
5.0,5.1,1.7,5.1,5.0,3.3,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,1.0,2.7,1.7,1.3,5.1,1.0,1.3,5.1,1.3,1.0,2.0,0
3.7,5.1,1.7,3.0,2.0,5.0,5.1,1.3,3.3,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.3,1.7,2.0,3.0,1.0,3.0,1.0,1.7,5.1,3.3,3.3,5.1,0
3.0,1.7,2.3,1.3,1.3,1.7,4.0,5.1,2.7,2.3,1.3,5.1,1
5.1,5.1,2.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.3,5.1,3.3,5.0,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.0,1.0,2.3,1.3,1.3,2.3,1.3,1.7,5.1,1.7,1.7,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,3.3,3.0,5.1,5.1,4.0,5.1,5.1,2.3,5.1,5.1,5.1,1
2.0,2.0,2.7,1.7,2.3,2.7,5.1,2.0,1.7,5.1,2.7,5.1,0
5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,1.0,1.7,2.7,1.3,2.0,3.3,5.1,2.7,5.1,5.1,5.1,1
2.3,2.7,2.3,4.0,1.3,3.3,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,5.1,5.1,5.1,2.0,5.1,5.1,1.3,5.1,5.1,5.1,5.1,1
1.0,1.0,1.3,1.7,1.7,1.0,1.3,1.3,5.1,1.3,2.0,5.1,0
5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.3,3.0,1.7,3.7,1.7,3.3,5.1,1.7,2.3,5.0,2.3,5.1,0
5.1,3.3,2.7,5.0,2.0,5.1,5.1,1.3,5.1,5.1,3.7,5.1,1
5.1,5.1,5.1,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,2.0,5.1,5.0,5.1,5.1,5.1,5.0,5.1,5.1,5.1,1
1.7,5.1,5.1,3.0,2.3,5.1,5.1,5.0,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,2.3,5.1,5.1,5.1,5.1,5.1,5.1,2.0,4.0,5.1,5.1,0
3.0,2.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,1.3,5.0,5.0,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.0,2.3,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,3.3,1.0,5.1,5.1,5.1,5.1,5.1,2.0,5.1,5.1,5.1,1
3.0,5.0,1.7,5.1,1.7,5.1,5.1,5.1,2.0,5.1,5.1,5.1,1
5.1,4.0,2.3,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.3,1.0,2.0,3.7,2.0,2.0,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,2.3,5.1,5.1,2.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,3.7,5.1,4.0,2.0,1.3,5.1,1.3,5.1,5.1,4.0,5.1,1
1.0,2.3,1.7,2.3,1.7,2.0,5.0,2.0,2.3,2.3,1.7,5.1,1
1.7,5.0,5.1,2.3,5.0,2.7,5.1,5.1,5.1,5.1,3.0,5.1,1
5.1,5.1,3.0,5.1,5.1,4.0,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,2.7,1.3,3.3,5.1,5.1,2.7,5.1,2.3,5.1,5.1,5.1,1
2.7,3.3,2.0,2.7,2.0,2.7,5.1,5.1,5.1,2.7,3.7,5.1,0
5.1,5.1,5.1,5.1,2.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,3.3,1.7,3.0,2.3,2.0,5.1,5.1,5.1,1.7,3.0,5.1,0
5.1,5.1,2.3,5.1,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,3.7,2.7,5.1,1.7,5.1,5.1,5.1,2.7,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,1.3,5.1,5.1,1.7,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,1.7,5.1,1.7,5.0,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.0,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.0,5.0,5.1,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.0,5.1,5.0,5.1,5.1,5.1,5.0,5.1,5.1,5.1,1
3.7,5.0,1.7,3.7,2.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,3.3,5.1,5.1,3.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,5.0,3.7,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.0,5.0,2.0,5.1,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,5.0,3.3,5.1,2.7,5.1,5.1,2.7,5.1,5.1,5.1,5.1,1
2.7,5.1,2.0,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.0,5.0,2.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,4.0,2.3,5.0,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,5.0,1.3,5.1,1.3,1.0,5.1,1.7,5.1,5.1,5.1,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.3,5.0,1.7,5.1,2.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,1.3,1.0,1.0,2.0,1.3,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.0,2.0,5.1,5.1,5.1,3.0,5.1,5.1,5.1,5.1,5.1,5.1,1
3.3,5.0,1.3,1.0,2.0,4.0,5.1,1.7,1.7,1.0,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.0,5.0,5.1,5.0,2.0,5.1,5.1,5.0,2.0,5.0,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,2.0,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,2.0,1.7,2.3,1.3,1.3,5.1,1.0,1.0,1.0,5.1,5.1,0
1.7,1.3,1.0,1.0,2.3,1.3,5.1,2.0,1.3,1.0,5.0,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,2.3,3.3,1.3,5.1,5.1,1.3,1.0,5.1,5.1,5.1,1
4.0,1.7,2.0,1.3,1.7,3.7,5.1,1.0,1.0,1.0,5.1,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,5.1,2.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,5.0,5.1,3.3,1.3,5.1,5.1,2.0,2.7,5.0,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.7,3.0,3.7,2.7,5.0,5.0,5.1,5.1,5.1,5.0,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,1.7,5.1,2.0,5.1,5.1,1.3,5.1,5.1,5.1,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
