M01_3_N,M02_3_N,M03_3_N,M04_3_N,M05_3_N,M06_3_N,M07_3_N,M08_3_N,M09_3_N,M10_3_N,M11_3_N,M12_3_N,M13_3_N,M14_3_N,M15_3_N,M16_3_N,M17_3_N,status
3.0,5.1,3.0,5.1,5.1,2.0,5.1,5.1,2.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.3,1.3,1.0,1.0,2.0,1.3,5.1,5.1,1.0,5.1,2.0,5.1,1.0,1.7,5.0,1.0,1.7,1
1.7,1.3,1.0,2.7,1.0,1.3,5.1,1.0,1.3,2.7,3.3,5.1,5.1,5.1,5.1,5.1,5.1,0
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.0,3.3,1.3,4.0,1.0,5.1,5.1,1.3,2.3,5.1,4.0,5.1,5.1,5.1,5.1,1.0,5.1,1
4.0,2.7,2.3,4.0,2.3,5.1,5.1,1.7,1.3,3.7,3.0,5.1,3.0,3.3,2.3,3.0,3.0,0
5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,2.0,1.7,1.0,1.3,5.1,5.1,1.3,1.0,1.3,1.0,5.1,1.0,3.3,1.3,1.0,2.0,0
3.7,3.0,2.3,4.0,3.3,5.1,5.1,5.1,1.7,2.0,3.3,5.1,5.1,5.1,5.1,5.1,3.7,0
1.7,2.7,1.0,5.0,1.7,5.1,5.1,1.0,1.3,5.0,5.0,5.1,5.1,5.1,5.1,5.1,5.1,1
2.3,5.1,5.1,2.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,1.7,5.1,3.7,2.3,5.1,5.1,5.1,5.1,5.1,3.3,5.1,5.1,3.3,5.1,1.3,5.1,1
4.0,2.0,5.1,3.0,2.7,5.1,5.1,5.1,5.1,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,1
1.0,1.0,1.3,1.0,5.1,5.1,5.1,5.1,1.0,1.0,5.1,5.1,1.0,1.0,1.0,1.3,1.0,0
1.0,2.0,1.0,1.0,1.3,5.1,5.1,5.1,5.1,2.0,2.0,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,5.1,2.0,5.0,1.3,5.1,5.1,1.3,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,3.7,2.0,4.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,4.0,5.1,1.7,1.3,1
3.0,5.0,1.7,3.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,1.0,2.7,3.7,3.7,5.1,5.1,5.0,5.1,5.0,5.0,5.1,5.1,3.3,5.1,5.1,5.1,0
3.3,1.3,1.7,3.0,2.3,5.1,5.1,1.3,1.0,5.1,5.1,5.1,5.1,1.3,5.1,5.1,5.1,0
2.3,4.0,1.0,1.0,3.3,5.1,5.1,2.0,1.7,2.7,4.0,5.1,2.3,3.0,3.7,1.3,2.3,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,0
5.1,5.1,5.1,5.1,5.1,3.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.3,2.0,1.3,4.0,2.0,5.1,5.1,5.1,1.3,1.7,5.0,5.1,3.0,2.7,3.7,5.1,5.1,0
5.1,3.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,2.0,5.1,1
1.3,1.3,2.0,3.0,5.1,5.1,5.1,5.1,1.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.3,3.3,2.7,3.7,2.0,5.1,5.1,3.0,5.1,5.1,2.7,5.1,5.1,5.1,2.7,5.1,3.0,1
2.0,2.3,1.7,3.0,2.7,5.1,5.1,1.7,1.3,4.0,3.3,5.1,1.0,1.7,2.7,1.0,5.0,0
3.0,2.7,1.0,3.0,2.0,5.1,5.1,1.7,1.3,3.3,5.0,5.1,1.0,3.0,5.1,1.7,5.1,1
2.7,5.0,1.7,3.3,1.7,5.1,5.1,1.0,1.0,4.0,3.3,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,4.0,3.0,3.0,1.3,5.1,5.1,5.1,5.1,5.1,4.0,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,2.3,1.7,3.0,1.3,5.1,5.1,2.0,1.3,4.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,0
2.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.3,1.7,1.7,2.3,3.7,5.1,5.1,5.1,1.3,2.0,3.3,5.1,1.0,1.0,5.1,1.7,1.7,0
1.0,1.7,1.0,3.7,1.7,5.1,5.1,1.3,1.0,1.7,2.0,5.1,1.0,1.7,1.0,1.3,1.0,0
2.3,3.7,2.0,3.3,5.1,5.1,5.1,5.1,1.0,5.1,5.1,5.1,5.1,4.0,5.1,5.1,5.1,1
2.7,1.3,2.0,4.0,3.0,5.1,5.1,2.0,1.0,2.3,2.3,5.1,5.1,5.1,5.1,5.1,5.1,0
3.7,1.3,1.0,2.0,5.1,5.1,5.1,5.1,1.0,5.1,2.3,5.1,1.0,2.0,5.1,1.3,5.1,1
5.1,1.0,5.1,1.0,2.3,5.1,5.1,2.3,1.7,2.0,5.1,5.1,1.3,1.0,1.3,5.1,5.1,0
1.3,1.7,1.3,1.7,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,1.3,1.7,1.7,1.3,5.1,5.1,1.0,1.0,4.0,2.7,5.1,5.1,5.1,5.1,5.1,5.1,0
5.1,1.0,2.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,3.7,1.3,2.0,4.0,5.1,5.1,5.1,3.7,5.1,4.0,5.1,5.1,5.1,5.1,5.1,3.0,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.0,1.3,2.0,3.7,5.1,5.1,5.1,5.1,1.3,5.1,3.0,5.1,5.0,1.3,5.1,5.1,1.3,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,1.7,1.3,2.7,1.7,5.1,5.1,1.3,1.3,4.0,2.7,5.1,2.3,2.7,1.7,1.3,1.3,0
1.7,2.3,2.0,1.7,1.3,5.1,5.1,1.3,2.0,2.0,3.3,5.1,5.1,5.1,5.1,5.1,5.1,0
1.7,1.3,1.7,1.0,1.7,5.1,5.1,5.1,1.7,2.7,1.3,5.1,1.0,2.3,1.7,1.0,1.0,1
1.7,1.7,1.3,2.0,1.3,5.1,5.1,1.3,1.0,1.3,3.0,5.1,1.0,1.7,1.0,2.0,1.0,0
1.7,1.3,1.7,2.7,2.3,5.1,5.1,5.1,5.1,3.7,4.0,5.1,1.0,3.3,5.1,1.3,1.3,1
5.1,5.1,1.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.3,1.7,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,3.0,1.0,5.1,2.3,5.1,5.1,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.3,3.3,5.1,3.7,1.7,4.0,5.1,5.1,1.3,3.3,5.1,5.1,5.1,2.7,4.0,1.0,5.1,1
2.3,5.1,2.0,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,2.0,2.0,3.0,1.7,5.1,5.1,5.1,5.1,2.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.3,2.0,2.3,4.0,5.1,5.1,5.1,5.1,5.1,5.0,5.1,5.1,5.1,5.1,5.1,1.3,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,2.0,1.3,2.0,1.3,5.1,5.1,1.3,1.3,4.0,2.3,5.1,2.7,2.7,1.7,1.7,3.0,0
5.1,3.0,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1.7,5.1,5.1,3.0,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,4.0,2.0,4.0,2.3,5.1,5.1,2.0,1.7,3.0,3.3,5.1,2.7,5.1,2.3,2.3,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,5.1,1.3,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,2.3,1.3,5.1,1.7,5.1,5.1,1.0,1.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,1.7,1.3,1.3,1.0,5.1,5.1,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,2.0,2.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1.7,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,5.1,2.3,5.0,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,3.0,5.1,2.0,2.3,5.1,5.1,5.1,4.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.3,1.3,5.1,5.1,5.1,4.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.3,1.0,1.3,1.7,1.0,5.1,5.1,1.0,1.0,1.3,2.0,5.1,5.1,5.1,5.1,1.3,5.1,1
2.0,4.0,1.7,3.7,2.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,3.7,2.0,5.1,2.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,4.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.7,1.3,1.0,1.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1.0,5.1,5.1,5.1,5.1,1
3.0,2.3,1.3,5.1,2.0,5.1,5.1,1.0,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,2.0,1.0,5.1,5.1,3.0,5.1,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.3,4.0,1.0,5.0,2.3,5.1,5.1,2.3,1.3,5.1,5.1,5.1,5.1,5.1,3.0,5.1,5.1,1
2.0,2.7,2.0,4.0,3.0,5.1,5.1,5.1,3.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,3.7,5.1,1.7,1.3,5.1,5.1,5.1,5.1,5.1,5.1,3.7,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.3,1.3,1.0,1.7,2.0,5.1,5.1,1.3,1.0,3.0,3.0,1.3,3.3,3.0,2.7,1.7,3.0,0
2.3,5.1,2.0,3.7,2.3,5.1,5.1,5.1,2.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
4.0,1.0,2.0,5.0,1.3,5.1,5.1,5.1,1.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,2.7,1.0,4.0,1.7,5.1,5.1,2.0,1.3,4.0,5.1,5.1,5.1,5.1,5.1,3.3,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,2.7,4.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,1.7,5.1,5.1,5.1,1.0,1.0,1.0,3.3,1.0,1.0,1.3,3.0,1.3,1.3,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.3,5.1,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,3.3,5.1,5.1,5.1,5.1,2.7,5.1,2.7,4.0,1
1.0,1.0,1.0,2.0,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1.0,5.1,5.1,5.1,1
5.1,5.1,5.1,2.7,5.1,5.1,5.1,5.1,1.7,5.1,5.1,2.7,5.1,5.1,2.3,5.1,5.1,0
2.7,1.3,1.0,4.0,2.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.0,3.7,2.0,3.0,2.7,5.1,5.1,1.7,2.3,4.0,3.7,5.1,2.0,2.7,3.7,2.0,5.1,0
2.3,2.0,5.1,2.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.7,3.0,5.1,2.3,1.0,5.1,5.1,5.1,2.0,5.1,2.3,5.1,1.0,5.1,5.1,5.1,5.1,0
1.3,1.3,1.0,1.7,1.0,5.1,5.1,1.0,1.0,1.0,1.0,5.1,5.1,5.1,5.1,1.3,5.1,1
5.1,5.1,1.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.0,2.0,5.1,2.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,2.3,1.3,1
5.1,5.1,5.1,2.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.3,2.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,2.3,5.1,4.0,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
1.0,1.3,1.0,1.3,1.0,5.1,5.1,1.0,1.0,1.0,1.3,1.0,1.0,1.0,5.1,1.0,1.0,0
2.3,1.3,2.3,3.0,1.3,5.1,5.1,1.0,2.0,5.1,5.1,5.1,5.1,5.1,5.1,2.3,5.1,1
1.0,1.0,1.0,1.7,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1.3,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,2.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
2.3,3.7,1.0,3.0,2.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,1.3,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
3.0,2.7,5.1,3.7,3.3,5.1,5.1,5.1,5.1,3.3,3.7,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,1
5.1,2.0,1.3,1.7,1.3,5.1,5.1,5.1,5.1,1.0,3.3,1.3,5.1,5.1,5.1,5.1,5.1,1
4.2,1.0,1.0,3.1,4.2,5.1,5.1,4.9,5.1,3.4,4.8,5.0,4.7,1.0,5.1,5.1,3.2,1
1.0,4.5,1.1,1.0,5.1,5.0,5.1,5.1,5.0,4.9,2.6,5.1,5.1,5.1,4.9,5.1,5.1,1
2.1,1.5,1.0,3.1,5.1,5.1,5.1,2.6,5.0,5.1,5.1,4.9,4.7,1.0,5.1,5.1,5.1,1
1.0,2.0,5.0,2.5,5.1,4.9,5.1,5.1,4.8,5.1,5.0,5.1,4.9,1.0,5.1,5.1,5.1,1
2.2,1.8,2.7,1.0,4.1,5.1,5.0,2.8,4.7,5.1,5.1,5.0,4.9,1.3,5.0,5.1,5.1,0
1.2,1.0,2.4,4.8,5.1,5.0,5.0,2.5,5.1,1.5,4.4,4.9,5.0,4.8,5.1,5.1,2.6,0
2.7,1.2,4.5,3.0,4.1,5.1,5.1,3.2,5.1,5.1,5.1,4.9,4.8,5.1,5.1,5.0,5.1,1
1.0,2.2,1.0,5.1,4.3,5.1,5.1,5.1,5.0,1.0,5.1,5.1,5.0,4.9,3.7,5.1,5.1,0
4.2,1.0,4.8,4.2,4.1,5.1,5.1,1.3,2.3,5.1,5.1,5.1,5.0,1.0,5.1,5.1,5.1,0
1.0,1.0,5.1,1.2,4.3,5.0,5.1,3.5,5.1,5.1,4.8,5.1,4.8,1.0,5.1,5.1,5.1,1
1.3,1.0,4.6,5.1,1.3,5.1,5.1,3.1,5.1,5.0,5.1,5.0,4.9,4.9,5.1,5.1,5.1,0
4.4,1.0,4.1,4.9,1.4,5.1,5.1,5.1,5.1,5.1,5.0,4.9,5.1,1.0,5.1,5.1,5.0,0
1.0,4.6,3.8,2.5,4.9,5.1,5.1,5.1,5.1,5.1,4.5,5.1,4.9,2.2,5.1,5.1,5.1,1
1.3,1.0,1.2,5.1,5.1,5.1,5.1,5.1,5.1,2.2,5.1,5.1,4.9,1.0,5.1,5.1,5.1,0
2.4,1.6,2.5,1.7,4.5,5.1,5.0,2.5,1.3,4.9,4.0,5.0,4.8,4.6,4.7,5.0,5.1,0
1.2,1.9,1.0,4.0,5.1,5.1,5.1,3.4,5.1,5.1,5.1,5.1,5.1,5.0,5.0,5.1,5.1,1
1.4,1.0,4.1,4.7,2.4,5.1,5.1,2.7,5.1,5.1,5.1,5.1,5.1,1.0,2.0,5.1,5.1,1
1.7,1.0,5.0,4.2,5.1,5.1,5.1,5.1,1.7,4.9,2.2,5.0,4.7,1.3,5.1,1.0,5.1,0
2.0,1.0,3.9,4.9,1.7,5.0,5.1,1.2,3.3,5.1,5.1,5.0,4.8,3.6,5.1,5.1,5.1,1
3.1,2.1,5.1,4.0,4.7,5.1,5.1,5.1,5.1,4.9,5.1,5.0,5.0,1.0,5.1,5.1,4.8,0
2.9,2.8,1.0,2.9,4.4,5.0,5.1,5.1,1.0,4.8,5.1,4.9,5.1,4.9,1.0,5.1,5.1,1
3.1,2.0,2.5,4.6,5.1,5.0,5.1,5.1,5.1,4.9,5.0,5.0,5.1,5.0,1.0,5.0,5.1,0
2.6,1.0,4.5,1.7,1.5,5.1,5.1,5.1,1.0,5.1,3.9,4.9,5.0,4.6,5.1,5.1,5.1,0
1.4,4.5,5.1,1.8,4.6,5.1,5.1,2.5,1.2,4.8,3.8,5.1,5.1,2.1,5.1,5.1,5.1,1
4.2,1.9,4.2,5.1,1.0,5.1,5.1,2.9,2.8,5.1,5.1,5.1,4.7,1.3,5.1,4.9,5.1,1
1.0,1.0,5.1,4.3,4.4,5.1,5.1,1.8,5.1,1.0,5.1,5.1,4.8,4.9,5.0,5.1,5.1,0
1.8,4.3,4.4,4.9,1.3,5.0,5.1,2.5,5.1,3.9,2.7,5.0,4.8,4.9,5.1,5.1,5.1,0
1.5,2.0,3.2,1.0,2.9,5.0,5.1,5.1,1.0,5.1,5.1,5.0,5.0,4.7,5.1,5.1,5.0,0
3.3,1.0,1.4,3.5,2.6,5.1,5.1,3.7,5.1,3.5,5.0,4.9,5.1,4.9,4.3,4.4,5.1,0
1.0,1.0,2.4,1.9,4.6,4.9,5.0,2.5,5.1,5.1,2.9,4.9,4.9,4.9,1.1,4.8,5.1,1
1.2,5.1,1.8,4.3,4.6,5.1,5.1,5.1,2.1,5.0,5.1,4.9,5.1,2.5,3.3,5.1,5.1,0
1.1,4.8,4.2,4.6,5.1,5.1,5.1,3.6,5.1,5.1,5.1,5.1,5.0,5.1,5.1,5.1,4.1,0
1.9,1.0,1.0,5.1,4.6,5.1,5.1,3.6,5.1,2.3,5.1,5.0,4.6,1.2,5.1,5.1,5.1,1
4.2,4.9,1.0,1.6,1.0,5.1,5.1,3.5,5.1,5.1,5.1,5.1,5.1,4.8,4.7,5.1,5.1,1
4.6,2.9,2.8,1.0,4.5,5.0,5.1,1.8,5.1,1.0,5.1,5.0,4.8,4.7,5.0,5.1,5.1,0
1.4,2.6,5.1,5.1,4.6,5.1,5.1,3.7,5.1,5.1,5.1,5.1,5.0,1.5,4.9,5.1,1.0,0
1.0,5.0,2.5,1.0,1.9,5.1,5.1,5.1,2.0,5.1,5.1,5.0,4.8,4.8,5.1,2.5,5.1,1
3.5,1.0,2.2,1.0,4.0,5.1,5.1,1.0,4.8,5.1,5.1,5.1,5.0,4.3,4.9,5.1,2.7,1
3.1,1.9,4.2,1.4,1.9,5.1,5.1,1.8,5.1,4.8,5.1,5.0,4.8,1.9,5.0,2.2,5.1,1
3.0,4.0,5.1,2.1,5.1,5.1,5.1,1.9,5.1,4.7,5.1,5.0,4.8,1.8,5.1,3.3,5.1,1
2.5,4.9,1.1,5.1,5.1,5.1,5.1,3.8,5.1,1.6,5.1,5.1,5.1,1.8,5.0,5.1,5.1,0
1.5,1.5,4.5,1.0,5.0,5.0,5.1,3.9,3.2,5.1,5.1,1.0,4.9,4.9,5.1,5.1,5.1,0
